Group,Environment,Mean±Std(β=0.001),Mean±Std(β=0.0025),Mean±Std(β=0.005),Mean±Std(β=0.0075),Mean±Std(β=0.01),Mean±Std(β=0.05),Mean±Std(β=0.1),Mean±Std(β=0.5),CORL,Mean-CORL%(β=0.001),Mean-CORL%(β=0.0025),Mean-CORL%(β=0.005),Mean-CORL%(β=0.0075),Mean-CORL%(β=0.01),Mean-CORL%(β=0.05),Mean-CORL%(β=0.1),Mean-CORL%(β=0.5)
Locomotion,halfcheetah-medium-v2,65.61 ± 0.81,66.22 ± 1.33,65.84 ± 0.77,N/A,65.09 ± 0.87,N/A,67.50 ± 1.15,65.37 ± 1.59,64.04 ± 0.68,2.45,3.4,2.81,,1.64,,5.4,2.08
Locomotion,halfcheetah-medium-replay-v2,50.38 ± 0.99,50.61 ± 0.57,50.69 ± 0.57,N/A,50.21 ± 1.31,N/A,51.03 ± 0.50,50.76 ± 0.80,51.18 ± 0.31,-1.56,-1.11,-0.96,,-1.9,,-0.29,-0.82
Locomotion,halfcheetah-medium-expert-v2,104.05 ± 2.20,106.87 ± 2.12,105.96 ± 0.82,N/A,101.78 ± 5.06,N/A,104.98 ± 1.08,106.46 ± 1.49,103.80 ± 2.95,0.24,2.96,2.08,,-1.95,,1.14,2.56
Locomotion,hopper-medium-v2,102.09 ± 0.64,102.25 ± 0.31,102.45 ± 0.28,N/A,102.76 ± 0.16,N/A,102.44 ± 0.03,98.20 ± 7.41,102.29 ± 0.17,-0.2,-0.04,0.16,,0.46,,0.15,-4.0
Locomotion,hopper-medium-replay-v2,93.08 ± 14.82,96.07 ± 7.28,100.92 ± 0.84,N/A,101.60 ± 0.31,N/A,96.20 ± 9.46,92.49 ± 15.78,94.98 ± 6.53,-2.0,1.15,6.25,,6.97,,1.28,-2.62
Locomotion,hopper-medium-expert-v2,105.20 ± 9.90,106.01 ± 8.79,107.20 ± 5.00,N/A,109.11 ± 4.31,N/A,108.90 ± 2.29,105.90 ± 7.44,109.45 ± 2.34,-3.88,-3.14,-2.06,,-0.31,,-0.5,-3.24
Locomotion,walker2d-medium-v2,85.54 ± 2.99,84.36 ± 2.43,86.10 ± 0.45,N/A,85.76 ± 0.00,N/A,86.24 ± 1.22,85.29 ± 0.48,85.82 ± 0.77,-0.33,-1.7,0.33,,-0.07,,0.49,-0.62
Locomotion,walker2d-medium-replay-v2,85.63 ± 3.33,80.96 ± 3.39,84.52 ± 4.86,N/A,81.64 ± 9.63,N/A,82.74 ± 7.47,77.49 ± 10.02,84.25 ± 2.25,1.64,-3.91,0.32,,-3.1,,-1.79,-8.02
Locomotion,walker2d-medium-expert-v2,111.69 ± 0.36,111.83 ± 0.37,111.67 ± 0.35,N/A,111.65 ± 0.45,N/A,111.83 ± 0.56,112.02 ± 0.45,111.86 ± 0.43,-0.15,-0.03,-0.17,,-0.19,,-0.03,0.14
AntMaze,antmaze-umaze-v2,97.00 ± 1.63,97.25 ± 1.71,96.75 ± 1.26,N/A,97.00 ± 2.45,N/A,100.00 ± 0.00,30.00 ± 26.46,97.75 ± 1.48,-0.77,-0.51,-1.02,,-0.77,,2.3,-69.31
AntMaze,antmaze-umaze-diverse-v2,89.75 ± 6.85,91.75 ± 5.19,90.50 ± 1.73,N/A,80.25 ± 12.69,N/A,46.67 ± 50.33,66.67 ± 35.12,83.50 ± 7.02,7.49,9.88,8.38,,-3.89,,-44.11,-20.16
AntMaze,antmaze-medium-play-v2,81.00 ± 2.94,88.25 ± 3.40,84.50 ± 7.19,N/A,83.50 ± 8.06,N/A,93.33 ± 5.77,0.00 ± 0.00,89.50 ± 3.35,-9.5,-1.4,-5.59,,-6.7,,4.28,-100.0
AntMaze,antmaze-medium-diverse-v2,85.50 ± 2.38,80.25 ± 8.54,85.75 ± 1.50,N/A,81.75 ± 6.55,N/A,76.67 ± 5.77,0.00 ± 0.00,83.50 ± 8.20,2.4,-3.89,2.69,,-2.1,,-8.18,-100.0
AntMaze,antmaze-large-play-v2,71.00 ± 6.27,74.00 ± 8.16,66.00 ± 4.24,N/A,51.00 ± 32.85,N/A,50.00 ± 10.00,0.00 ± 0.00,52.25 ± 29.01,35.89,41.63,26.32,,-2.39,,-4.31,-100.0
AntMaze,antmaze-large-diverse-v2,74.00 ± 4.97,64.25 ± 13.00,67.25 ± 10.37,N/A,51.75 ± 32.18,N/A,33.33 ± 28.87,N/A,64.00 ± 5.43,15.62,0.39,5.08,,-19.14,,-47.92,
Maze2D,maze2d-umaze-v1,145.21 ± 0.00,74.88 ± 28.12,110.05 ± 25.91,N/A,110.88 ± 24.67,N/A,96.00 ± 26.57,151.33 ± 4.27,106.87 ± 22.16,35.88,-29.93,2.98,,3.75,,-10.17,41.6
Maze2D,maze2d-medium-v1,94.46 ± 39.01,91.85 ± 52.96,96.93 ± 2.24,N/A,87.26 ± 39.34,N/A,48.56 ± 38.47,33.63 ± 28.71,105.11 ± 31.67,-10.13,-12.62,-7.78,,-16.98,,-53.8,-68.0
Maze2D,maze2d-large-v1,98.51 ± 72.44,43.44 ± 62.38,58.24 ± 61.91,N/A,109.27 ± 54.33,N/A,66.72 ± 11.38,66.18 ± 22.82,78.33 ± 61.77,25.76,-44.54,-25.65,,39.5,,-14.82,-15.51
Adroit,pen-human-v1,105.20 ± 8.75,95.77 ± 9.37,82.07 ± 24.32,96.17 ± 17.79,107.87 ± 16.65,113.22 ± 5.62,106.49 ± 18.55,N/A,103.16 ± 8.49,1.98,-7.16,-20.44,-6.78,4.57,9.75,3.23,
Adroit,pen-cloned-v1,97.84 ± 0.57,89.80 ± 18.39,103.53 ± 23.50,97.38 ± 8.02,100.10 ± 14.90,100.98 ± 9.08,114.78 ± 15.60,N/A,102.79 ± 7.84,-4.82,-12.64,0.72,-5.26,-2.62,-1.76,11.66,
Adroit,pen-expert-v1,151.06 ± 10.72,152.79 ± 5.03,146.06 ± 11.50,146.90 ± 12.14,153.75 ± 6.40,149.32 ± 5.79,149.95 ± 4.23,N/A,152.16 ± 6.33,-0.72,0.41,-4.01,-3.46,1.04,-1.87,-1.45,
Adroit,hammer-human-v1,0.16 ± 0.16,0.17 ± 0.04,0.12 ± 0.07,0.18 ± 0.26,0.13 ± 0.18,0.14 ± 0.09,1.55 ± 1.91,N/A,0.24 ± 0.24,-33.33,-29.17,-50.0,-25.0,-45.83,-41.67,545.83,
Adroit,hammer-cloned-v1,3.81 ± 1.47,5.94 ± 5.60,12.32 ± 15.33,4.94 ± 2.93,8.82 ± 9.90,4.27 ± 5.22,4.42 ± 3.59,N/A,5.00 ± 3.75,-23.8,18.8,146.4,-1.2,76.4,-14.6,-11.6,
Adroit,hammer-expert-v1,133.58 ± 0.93,134.14 ± 0.08,131.36 ± 4.98,133.86 ± 0.55,133.76 ± 0.63,133.24 ± 0.93,133.92 ± 0.31,N/A,133.62 ± 0.27,-0.03,0.39,-1.69,0.18,0.1,-0.28,0.22,
Adroit,door-human-v1,-0.12 ± 0.11,-0.08 ± 0.04,-0.10 ± 0.03,-0.11 ± 0.07,-0.08 ± 0.07,-0.04 ± 0.06,-0.10 ± 0.12,N/A,-0.10 ± 0.01,-20.0,20.0,0.0,-10.0,20.0,60.0,0.0,
Adroit,door-cloned-v1,0.01 ± 0.07,0.03 ± 0.06,0.24 ± 0.33,0.11 ± 0.03,0.04 ± 0.05,0.07 ± 0.03,-0.01 ± 0.14,N/A,0.06 ± 0.05,-83.33,-50.0,300.0,83.33,-33.33,16.67,-116.67,
Adroit,door-expert-v1,105.13 ± 2.20,104.63 ± 2.19,106.20 ± 0.15,103.09 ± 4.07,103.83 ± 2.84,102.33 ± 6.24,106.50 ± 0.09,N/A,106.37 ± 0.29,-1.17,-1.64,-0.16,-3.08,-2.39,-3.8,0.12,
Adroit,relocate-human-v1,-0.02 ± 0.01,0.00 ± 0.02,0.00 ± 0.01,-0.01 ± 0.01,-0.01 ± 0.01,0.15 ± 0.32,-0.01 ± 0.04,N/A,0.16 ± 0.30,-112.5,-100.0,-100.0,-106.25,-106.25,-6.25,-106.25,
Adroit,relocate-cloned-v1,0.76 ± 1.63,1.56 ± 1.04,1.37 ± 2.26,0.27 ± 0.49,0.91 ± 1.21,0.54 ± 0.62,0.39 ± 0.52,N/A,1.66 ± 2.59,-54.22,-6.02,-17.47,-83.73,-45.18,-67.47,-76.51,
Adroit,relocate-expert-v1,105.34 ± 5.23,110.22 ± 0.91,109.68 ± 1.33,108.30 ± 2.63,107.57 ± 2.68,104.79 ± 2.73,106.46 ± 2.15,N/A,107.52 ± 2.28,-2.03,2.51,2.01,0.73,0.05,-2.54,-0.99,
