Task-Name,BC,10%BC,TD3+BC,AWAC,CQL,IQL,ReBRAC,SAC-N,EDAC,DT,E2ERL(β=0.001),E2ERL(β=0.0025),E2ERL(β=0.005),E2ERL(β=0.0075),E2ERL(β=0.01),E2ERL(β=0.05),E2ERL(β=0.1),E2ERL(β=0.5)
halfcheetah-medium-v2,42.40 ± 0.19,42.46 ± 0.70,48.10 ± 0.18,49.46 ± 0.62,47.04 ± 0.22,48.31 ± 0.22,64.04 ± 0.68,68.20 ± 1.28,67.70 ± 1.04,42.20 ± 0.26,65.61 ± 0.81,66.22 ± 1.33,65.84 ± 0.77,N/A,65.09 ± 0.87,N/A,67.50 ± 1.15,65.37 ± 1.59
halfcheetah-medium-replay-v2,35.66 ± 2.33,23.59 ± 6.95,44.84 ± 0.59,44.70 ± 0.69,45.04 ± 0.27,44.46 ± 0.22,51.18 ± 0.31,60.70 ± 1.01,62.06 ± 1.10,38.91 ± 0.50,50.38 ± 0.99,50.61 ± 0.57,50.69 ± 0.57,N/A,50.21 ± 1.31,N/A,51.03 ± 0.50,50.76 ± 0.80
halfcheetah-medium-expert-v2,55.95 ± 7.35,90.10 ± 2.45,90.78 ± 6.04,93.62 ± 0.41,95.63 ± 0.42,94.74 ± 0.52,103.80 ± 2.95,98.96 ± 9.31,104.76 ± 0.64,91.55 ± 0.95,104.05 ± 2.20,106.87 ± 2.12,105.96 ± 0.82,N/A,101.78 ± 5.06,N/A,104.98 ± 1.08,106.46 ± 1.49
hopper-medium-v2,53.51 ± 1.76,55.48 ± 7.30,60.37 ± 3.49,74.45 ± 9.14,59.08 ± 3.77,67.53 ± 3.78,102.29 ± 0.17,40.82 ± 9.91,101.70 ± 0.28,65.10 ± 1.61,102.09 ± 0.64,102.25 ± 0.31,102.45 ± 0.28,N/A,102.76 ± 0.16,N/A,102.44 ± 0.03,98.20 ± 7.41
hopper-medium-replay-v2,29.81 ± 2.07,70.42 ± 8.66,64.42 ± 21.52,96.39 ± 5.28,95.11 ± 5.27,97.43 ± 6.39,94.98 ± 6.53,100.33 ± 0.78,99.66 ± 0.81,81.77 ± 6.87,93.08 ± 14.82,96.07 ± 7.28,100.92 ± 0.84,N/A,101.60 ± 0.31,N/A,96.20 ± 9.46,92.49 ± 15.78
hopper-medium-expert-v2,52.30 ± 4.01,111.16 ± 1.03,101.17 ± 9.07,52.73 ± 37.47,99.26 ± 10.91,107.42 ± 7.80,109.45 ± 2.34,101.31 ± 11.63,105.19 ± 10.08,110.44 ± 0.33,105.20 ± 9.90,106.01 ± 8.79,107.20 ± 5.00,N/A,109.11 ± 4.31,N/A,108.90 ± 2.29,105.90 ± 7.44
walker2d-medium-v2,63.23 ± 16.24,67.34 ± 5.17,82.71 ± 4.78,66.53 ± 26.04,80.75 ± 3.28,80.91 ± 3.17,85.82 ± 0.77,87.47 ± 0.66,93.36 ± 1.38,67.63 ± 2.54,85.54 ± 2.99,84.36 ± 2.43,86.10 ± 0.45,N/A,85.76 ± 0.00,N/A,86.24 ± 1.22,85.29 ± 0.48
walker2d-medium-replay-v2,21.80 ± 10.15,54.35 ± 6.34,85.62 ± 4.01,82.20 ± 1.05,73.09 ± 13.22,82.15 ± 3.03,84.25 ± 2.25,78.99 ± 0.50,87.10 ± 2.78,59.86 ± 2.73,85.63 ± 3.33,80.96 ± 3.39,84.52 ± 4.86,N/A,81.64 ± 9.63,N/A,82.74 ± 7.47,77.49 ± 10.02
walker2d-medium-expert-v2,98.96 ± 15.98,108.70 ± 0.25,110.03 ± 0.36,49.41 ± 38.16,109.56 ± 0.39,111.72 ± 0.86,111.86 ± 0.43,114.93 ± 0.41,114.75 ± 0.74,107.11 ± 0.96,111.69 ± 0.36,111.83 ± 0.37,111.67 ± 0.35,N/A,111.65 ± 0.45,N/A,111.83 ± 0.56,112.02 ± 0.45
[Locomotion average],50.40,69.29,76.45,67.72,78.28,81.63,89.74,83.52,92.92,73.84,89.25,89.46,90.59,N/A,89.96,N/A,90.21,88.22
