Task-Name,BC,10%BC,TD3+BC,AWAC,CQL,IQL,ReBRAC,SAC-N,EDAC,DT,E2ERL
maze2d-umaze-v1,0.36 ± 8.69,12.18 ± 4.29,29.41 ± 12.31,65.65 ± 5.34,-8.90 ± 6.11,42.11 ± 0.58,106.87 ± 22.16,130.59 ± 16.52,95.26 ± 6.39,18.08 ± 25.42,145.21 ± 0.00
maze2d-medium-v1,0.79 ± 3.25,14.25 ± 2.33,59.45 ± 36.25,84.63 ± 35.54,86.11 ± 9.68,34.85 ± 2.72,105.11 ± 31.67,88.61 ± 18.72,57.04 ± 3.45,31.71 ± 26.33,94.46 ± 39.01
maze2d-large-v1,2.26 ± 4.39,11.32 ± 5.10,97.10 ± 25.41,215.50 ± 3.11,23.75 ± 36.70,61.72 ± 3.50,78.33 ± 61.77,204.76 ± 1.19,95.60 ± 22.92,35.66 ± 28.20,98.51 ± 72.44
[Maze2D average],1.14,12.58,61.99,121.93,33.65,46.23,96.77,141.32,82.63,28.48,112.73
,,,,,,,,,,,
antmaze-umaze-v2,55.25 ± 4.15,65.75 ± 5.26,70.75 ± 39.18,56.75 ± 9.09,92.75 ± 1.92,77.00 ± 5.52,97.75 ± 1.48,0.00 ± 0.00,0.00 ± 0.00,57.00 ± 9.82,97.00 ± 1.63
antmaze-umaze-diverse-v2,47.25 ± 4.09,44.00 ± 1.00,44.75 ± 11.61,54.75 ± 8.01,37.25 ± 3.70,54.25 ± 5.54,83.50 ± 7.02,0.00 ± 0.00,0.00 ± 0.00,51.75 ± 0.43,89.75 ± 6.85
antmaze-medium-play-v2,0.00 ± 0.00,2.00 ± 0.71,0.25 ± 0.43,0.00 ± 0.00,65.75 ± 11.61,65.75 ± 11.71,89.50 ± 3.35,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,81.00 ± 2.94
antmaze-medium-diverse-v2,0.75 ± 0.83,5.75 ± 9.39,0.25 ± 0.43,0.00 ± 0.00,67.25 ± 3.56,73.75 ± 5.45,83.50 ± 8.20,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,85.50 ± 2.38
antmaze-large-play-v2,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,20.75 ± 7.26,42.00 ± 4.53,52.25 ± 29.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,71.00 ± 6.27
antmaze-large-diverse-v2,0.00 ± 0.00,0.75 ± 0.83,0.00 ± 0.00,0.00 ± 0.00,20.50 ± 13.24,30.25 ± 3.63,64.00 ± 5.43,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,74.00 ± 4.97
[AntMaze average],17.21,19.71,19.33,18.58,50.71,57.17,78.42,0.00,0.00,18.12,83.04
,,,,,,,,,,,
