Task-Name,ReBRAC,E2ERL(β=0.001),E2ERL(β=0.0025),E2ERL(β=0.005),E2ERL(β=0.0075),E2ERL(β=0.01),E2ERL(β=0.05),E2ERL(β=0.1),E2ERL(β=0.5)
halfcheetah-medium-v2,64.04 ± 0.68,65.61 ± 0.81,66.22 ± 1.33,65.84 ± 0.77,N/A,65.09 ± 0.87,N/A,67.50 ± 1.15,65.37 ± 1.59
halfcheetah-medium-replay-v2,51.18 ± 0.31,50.38 ± 0.99,50.61 ± 0.57,50.69 ± 0.57,N/A,50.21 ± 1.31,N/A,51.03 ± 0.50,50.76 ± 0.80
halfcheetah-medium-expert-v2,103.80 ± 2.95,104.05 ± 2.20,106.87 ± 2.12,105.96 ± 0.82,N/A,101.78 ± 5.06,N/A,104.98 ± 1.08,106.46 ± 1.49
hopper-medium-v2,102.29 ± 0.17,102.09 ± 0.64,102.25 ± 0.31,102.45 ± 0.28,N/A,102.76 ± 0.16,N/A,102.44 ± 0.03,98.20 ± 7.41
hopper-medium-replay-v2,94.98 ± 6.53,93.08 ± 14.82,96.07 ± 7.28,100.92 ± 0.84,N/A,101.60 ± 0.31,N/A,96.20 ± 9.46,92.49 ± 15.78
hopper-medium-expert-v2,109.45 ± 2.34,105.20 ± 9.90,106.01 ± 8.79,107.20 ± 5.00,N/A,109.11 ± 4.31,N/A,108.90 ± 2.29,105.90 ± 7.44
walker2d-medium-v2,85.82 ± 0.77,85.54 ± 2.99,84.36 ± 2.43,86.10 ± 0.45,N/A,85.76 ± 0.00,N/A,86.24 ± 1.22,85.29 ± 0.48
walker2d-medium-replay-v2,84.25 ± 2.25,85.63 ± 3.33,80.96 ± 3.39,84.52 ± 4.86,N/A,81.64 ± 9.63,N/A,82.74 ± 7.47,77.49 ± 10.02
walker2d-medium-expert-v2,111.86 ± 0.43,111.69 ± 0.36,111.83 ± 0.37,111.67 ± 0.35,N/A,111.65 ± 0.45,N/A,111.83 ± 0.56,112.02 ± 0.45
[Locomotion average],89.74,89.25,89.46,90.59,N/A,89.96,N/A,90.21,88.22
,,,,,,,,,
maze2d-umaze-v1,106.87 ± 22.16,145.21 ± 0.00,74.88 ± 28.12,110.05 ± 25.91,N/A,110.88 ± 24.67,N/A,96.00 ± 26.57,151.33 ± 4.27
maze2d-medium-v1,105.11 ± 31.67,94.46 ± 39.01,91.85 ± 52.96,96.93 ± 2.24,N/A,87.26 ± 39.34,N/A,48.56 ± 38.47,33.63 ± 28.71
maze2d-large-v1,78.33 ± 61.77,98.51 ± 72.44,43.44 ± 62.38,58.24 ± 61.91,N/A,109.27 ± 54.33,N/A,66.72 ± 11.38,66.18 ± 22.82
[Maze2D average],96.77,112.73,70.06,88.41,N/A,102.47,N/A,70.43,83.71
,,,,,,,,,
antmaze-umaze-v2,97.75 ± 1.48,97.00 ± 1.63,97.25 ± 1.71,96.75 ± 1.26,N/A,97.00 ± 2.45,N/A,100.00 ± 0.00,30.00 ± 26.46
antmaze-umaze-diverse-v2,83.50 ± 7.02,89.75 ± 6.85,91.75 ± 5.19,90.50 ± 1.73,N/A,80.25 ± 12.69,N/A,46.67 ± 50.33,66.67 ± 35.12
